,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
203,2024-10-17T11:36:41.879Z,-31.2729,-176.4431,10.0,4.8,mb,22.0,217.0,2.377,1.14,us,us6000nzbq,2024-10-17T12:26:27.040Z,Kermadec Islands region,earthquake,13.92,1.995,0.128,19.0,reviewed,us,us
204,2024-10-17T11:18:22.055Z,-20.0702,-178.3152,610.537,5.4,mww,80.0,42.0,4.144,0.83,us,us6000nzbh,2024-10-18T11:21:19.208Z,Fiji region,earthquake,11.44,7.948,0.098,10.0,reviewed,us,us
205,2024-10-17T10:53:34.289Z,36.3594,70.9471,179.438,4.2,mb,37.0,173.0,2.263,0.62,us,us6000nzb8,2024-10-17T11:14:37.040Z,"56 km S of Jurm, Afghanistan",earthquake,8.55,9.583,0.132,16.0,reviewed,us,us
207,2024-10-17T10:33:45.616Z,-27.9039,-176.6036,39.818,5.0,mb,50.0,71.0,1.773,0.99,us,us6000nzb2,2024-10-17T10:51:31.040Z,Kermadec Islands region,earthquake,11.35,6.628,0.053,115.0,reviewed,us,us
208,2024-10-17T10:07:00.389Z,-27.9342,-176.4266,10.0,4.9,mb,36.0,70.0,1.858,1.01,us,us6000nzat,2024-10-17T10:23:32.040Z,Kermadec Islands region,earthquake,11.07,1.873,0.115,24.0,reviewed,us,us
209,2024-10-17T09:58:04.882Z,5.9232,125.9271,149.708,4.6,mb,50.0,98.0,1.19,1.05,us,us6000nzar,2024-10-17T10:30:28.040Z,"28 km ESE of Mangili, Philippines",earthquake,9.72,6.524,0.08,47.0,reviewed,us,us
210,2024-10-17T08:39:08.413Z,39.6641,37.358,10.0,4.4,mb,20.0,70.0,0.943,0.42,us,us6000nza7,2024-10-17T12:40:44.040Z,"21 km S of Hafik, Turkey",earthquake,3.39,1.922,0.19,8.0,reviewed,us,us
211,2024-10-17T08:29:57.114Z,39.6487,37.3384,7.306,4.5,mwr,78.0,44.0,0.944,0.62,us,us6000nza6,2024-10-17T16:24:41.101Z,"23 km S of Hafik, Turkey",earthquake,3.97,4.56,0.086,13.0,reviewed,us,us
212,2024-10-17T07:56:38.454Z,34.9148,135.5085,371.191,4.4,mb,52.0,45.0,1.32,0.51,us,us6000nz9z,2024-10-17T08:55:18.040Z,"10 km NNE of Mino, Japan",earthquake,8.98,7.433,0.093,33.0,reviewed,us,us
215,2024-10-17T05:37:32.769Z,-27.867,-176.3182,10.0,5.6,mww,32.0,172.0,1.973,0.81,us,us6000nz9e,2024-10-21T13:44:18.040Z,Kermadec Islands region,earthquake,10.74,1.92,0.083,14.0,reviewed,us,us
216,2024-10-17T04:31:25.579Z,-16.9382,-70.0447,183.367,4.2,mb,22.0,122.0,0.843,0.48,us,us6000nz90,2024-10-17T05:15:56.040Z,"38 km N of Chuquitira, Peru",earthquake,4.09,8.045,0.235,5.0,reviewed,us,us
217,2024-10-17T04:20:35.792Z,-31.2423,-176.7829,10.0,5.1,mww,39.0,59.0,2.206,1.1,us,us6000nz8w,2024-10-17T04:44:44.040Z,Kermadec Islands region,earthquake,9.45,1.822,0.083,14.0,reviewed,us,us
221,2024-10-17T02:18:34.318Z,-14.0477,167.9479,10.0,5.0,mb,26.0,162.0,7.351,0.93,us,us6000nz8e,2024-10-17T07:18:36.763Z,"46 km ESE of Sola, Vanuatu",earthquake,7.05,1.948,0.13,19.0,reviewed,us,us
222,2024-10-17T01:28:44.129Z,-22.3873,-179.4303,580.294,4.8,mb,55.0,95.0,4.111,0.96,us,us6000nz84,2024-10-17T01:44:02.040Z,south of the Fiji Islands,earthquake,13.61,10.864,0.1,31.0,reviewed,us,us
223,2024-10-17T01:01:20.183Z,-31.3191,-176.7166,10.0,5.2,mww,47.0,69.0,2.299,1.32,us,us6000nz7p,2024-10-17T01:55:57.040Z,Kermadec Islands region,earthquake,9.69,1.875,0.073,18.0,reviewed,us,us
226,2024-10-16T22:51:12.641Z,-19.1691,-173.5251,10.0,5.2,mb,55.0,75.0,2.539,1.04,us,us6000nz79,2024-10-16T23:10:34.040Z,"74 km SE of Neiafu, Tonga",earthquake,10.23,1.859,0.065,78.0,reviewed,us,us
227,2024-10-16T22:49:56.952Z,-27.8154,-176.565,35.0,4.4,mb,17.0,148.0,1.863,0.83,us,us6000nz77,2024-10-17T01:02:12.040Z,Kermadec Islands region,earthquake,12.23,1.968,0.138,15.0,reviewed,us,us
228,2024-10-16T22:25:01.739Z,49.7056,-28.4864,10.0,5.2,mb,61.0,66.0,14.211,0.66,us,us6000nz75,2024-10-16T22:39:34.040Z,northern Mid-Atlantic Ridge,earthquake,10.86,1.894,0.033,301.0,reviewed,us,us
229,2024-10-16T22:23:02.452Z,40.9571,78.4825,10.0,5.2,mb,80.0,79.0,1.517,1.3,us,us6000nz72,2024-10-17T03:07:35.520Z,"130 km NNW of Tumxuk, China",earthquake,5.88,1.851,0.056,105.0,reviewed,us,us
230,2024-10-16T22:04:48.996Z,2.0515,-79.7463,10.0,4.7,mb,42.0,156.0,1.173,0.88,us,us6000nz6y,2024-10-17T00:11:31.564Z,"109 km WNW of Tumaco, Colombia",earthquake,8.16,1.897,0.07,62.0,reviewed,us,us
232,2024-10-16T21:05:18.811Z,-37.9822,176.0971,182.603,4.1,mb,20.0,114.0,0.534,0.99,us,us6000nz6r,2024-10-16T21:33:21.040Z,"12 km W of Kaharoa, New Zealand",earthquake,4.0,6.202,0.185,8.0,reviewed,us,us
234,2024-10-16T20:48:13.081Z,-5.9195,134.0345,10.0,4.2,mb,17.0,101.0,3.472,1.09,us,us6000nz6m,2024-10-16T21:37:45.040Z,"145 km ESE of Tual, Indonesia",earthquake,11.51,1.909,0.236,5.0,reviewed,us,us
237,2024-10-16T20:21:48.127Z,-15.606,-174.6494,182.898,4.4,mb,38.0,57.0,3.246,0.87,us,us6000nz6g,2024-10-16T21:17:05.040Z,"99 km WNW of Hihifo, Tonga",earthquake,12.38,6.439,0.11,24.0,reviewed,us,us
238,2024-10-16T20:11:28.216Z,9.1426,40.1541,10.0,4.6,mb,48.0,116.0,3.556,0.55,us,us6000nz6e,2024-10-18T19:37:42.631Z,"17 km N of Āwash, Ethiopia",earthquake,9.07,1.871,0.091,36.0,reviewed,us,us
239,2024-10-16T19:40:58.717Z,18.4898,-106.9116,10.0,5.9,mww,130.0,174.0,5.497,1.53,us,us6000nz5z,2024-10-17T19:43:57.544Z,"224 km SW of José María Morelos, Mexico",earthquake,9.79,1.889,0.052,36.0,reviewed,us,us
240,2024-10-16T18:59:39.196Z,-27.7875,-176.3663,10.0,5.1,mb,73.0,65.0,2.0,0.64,us,us6000nz5p,2024-10-16T19:28:08.040Z,Kermadec Islands region,earthquake,10.08,1.77,0.074,65.0,reviewed,us,us
241,2024-10-16T18:56:51.468Z,36.5608,70.5904,203.382,5.9,mww,146.0,36.0,1.938,1.21,us,us6000nz5n,2024-10-17T18:59:48.635Z,"40 km SSW of Jurm, Afghanistan",earthquake,6.94,6.033,0.038,66.0,reviewed,us,us
243,2024-10-16T18:44:55.717Z,-31.1421,-176.7602,10.0,4.5,mb,17.0,206.0,2.126,1.24,us,us6000nz5l,2024-10-16T20:21:47.040Z,Kermadec Islands region,earthquake,8.31,1.971,0.128,18.0,reviewed,us,us
244,2024-10-16T18:32:52.324Z,18.003,120.1504,10.0,4.7,mww,124.0,42.0,4.869,0.95,us,us6000nz5j,2024-10-16T19:37:30.040Z,"32 km WNW of Pagsanahan Norte, Philippines",earthquake,8.1,1.767,0.098,10.0,reviewed,us,us
245,2024-10-16T18:30:46.688Z,36.6824,71.2591,215.859,4.2,mb,38.0,141.0,2.173,0.52,us,us6000nz5g,2024-10-16T20:13:35.040Z,"24 km W of Ashkāsham, Afghanistan",earthquake,9.65,9.352,0.153,12.0,reviewed,us,us
246,2024-10-16T17:11:00.533Z,-27.8652,-176.1917,10.0,5.1,mww,74.0,44.0,2.055,0.59,us,us6000nz4x,2024-10-16T17:41:51.040Z,Kermadec Islands region,earthquake,11.11,1.789,0.093,11.0,reviewed,us,us
247,2024-10-16T16:13:09.828Z,-23.6622,-179.9346,536.333,4.5,mb,48.0,73.0,5.133,1.0,us,us6000nz4c,2024-10-16T16:47:27.040Z,south of the Fiji Islands,earthquake,12.91,9.18,0.083,42.0,reviewed,us,us
249,2024-10-16T15:16:40.123Z,-8.3438,119.4646,159.82,4.3,mb,24.0,86.0,2.758,1.2,us,us6000nz38,2024-10-18T01:11:32.040Z,"27 km N of Komodo, Indonesia",earthquake,12.18,8.81,0.125,19.0,reviewed,us,us
250,2024-10-16T15:04:02.962Z,-31.1769,-176.7871,10.0,5.1,mb,42.0,77.0,2.146,0.8,us,us6000nz35,2024-10-16T15:32:49.040Z,Kermadec Islands region,earthquake,10.22,1.851,0.079,52.0,reviewed,us,us
251,2024-10-16T14:29:36.493Z,10.5461,-85.0786,57.808,4.3,mb,27.0,152.0,0.282,0.69,us,us6000nz32,2024-10-21T14:37:12.040Z,"12 km N of Cañas, Costa Rica",earthquake,6.3,5.82,0.154,12.0,reviewed,us,us
252,2024-10-16T13:58:21.057Z,23.995,121.6717,35.0,4.8,mwr,130.0,30.0,0.191,0.65,us,us6000nz1z,2024-10-17T00:14:40.179Z,"7 km ENE of Hualien City, Taiwan",earthquake,3.92,1.805,0.063,24.0,reviewed,us,us
253,2024-10-16T12:26:21.209Z,33.215,48.2756,10.0,4.3,mb,39.0,218.0,2.844,0.83,us,us6000nz1h,2024-10-16T14:44:03.040Z,"31 km SSW of Khorramabad, Iran",earthquake,11.02,1.978,0.1,28.0,reviewed,us,us
255,2024-10-16T12:19:44.762Z,-31.1714,-177.0966,10.0,5.3,mb,65.0,88.0,2.032,0.55,us,us6000nz1u,2024-10-16T14:19:04.040Z,Kermadec Islands region,earthquake,10.12,1.875,0.07,68.0,reviewed,us,us
256,2024-10-16T12:19:27.538Z,-31.2926,-177.3049,10.0,5.0,mb,61.0,86.0,2.093,0.49,us,us6000nz1f,2024-10-16T13:38:29.040Z,Kermadec Islands region,earthquake,10.9,1.87,0.072,61.0,reviewed,us,us
262,2024-10-16T09:39:59.182Z,52.5655,-163.3902,10.0,5.3,mww,142.0,98.0,2.088,1.02,us,us6000nz0p,2024-10-23T09:50:03.830Z,"235 km SE of Akutan, Alaska",earthquake,6.96,1.835,0.057,30.0,reviewed,us,us
263,2024-10-16T08:53:22.463Z,36.1367,139.8059,74.591,4.7,mb,50.0,115.0,1.351,1.13,us,us6000nyzs,2024-10-16T20:13:30.733Z,"4 km N of Sakai, Japan",earthquake,6.91,5.531,0.093,35.0,reviewed,us,us
267,2024-10-16T07:46:32.889Z,38.3086,38.8261,10.0,6.0,mww,118.0,43.0,0.383,1.02,us,us6000nyzk,2024-10-23T18:54:13.948Z,"18 km W of Doğanyol, Turkey",earthquake,3.78,1.815,0.042,55.0,reviewed,us,us
271,2024-10-16T05:58:03.754Z,-3.7099,152.0467,11.744,4.8,mb,41.0,119.0,0.492,1.18,us,us6000nyz9,2024-10-16T07:07:01.040Z,"55 km NNW of Rabaul, Papua New Guinea",earthquake,5.63,4.456,0.093,36.0,reviewed,us,us
273,2024-10-16T05:06:02.043Z,18.514,-112.6891,10.0,4.6,mb,75.0,177.0,8.774,1.2,us,us6000nyyx,2024-10-16T06:12:53.040Z,Revilla Gigedo Islands region,earthquake,11.57,1.931,0.032,296.0,reviewed,us,us
274,2024-10-16T04:49:29.611Z,-17.2284,-175.0908,261.621,4.3,mb,22.0,90.0,4.116,0.71,us,us6000nyyv,2024-10-17T21:33:12.040Z,"196 km NW of Neiafu, Tonga",earthquake,11.78,13.886,0.138,15.0,reviewed,us,us
275,2024-10-16T04:42:50.446Z,15.3913,-94.6567,35.0,4.5,mb,48.0,198.0,2.582,0.8,us,us6000nyyt,2024-10-17T21:15:04.040Z,"93 km S of San Francisco del Mar Viejo, Mexico",earthquake,9.73,1.975,0.059,85.0,reviewed,us,us
276,2024-10-16T04:30:27.029Z,-31.2548,-176.7415,10.0,5.2,mb,62.0,115.0,2.233,0.68,us,us6000nyys,2024-10-17T20:50:00.040Z,Kermadec Islands region,earthquake,9.23,1.82,0.074,60.0,reviewed,us,us
277,2024-10-16T03:41:13.799Z,19.1984,147.0825,10.0,5.1,mww,80.0,36.0,4.125,0.25,us,us6000nyyl,2024-10-23T03:51:24.287Z,Mariana Islands region,earthquake,8.69,1.786,0.086,13.0,reviewed,us,us
280,2024-10-16T02:03:49.292Z,-11.0469,163.4127,10.0,4.8,mb,47.0,60.0,3.766,0.66,us,us6000nyy3,2024-10-17T18:59:44.040Z,"175 km ESE of Kirakira, Solomon Islands",earthquake,6.07,1.807,0.088,40.0,reviewed,us,us
281,2024-10-16T01:59:42.716Z,-4.8987,142.1528,108.066,4.5,mb,21.0,134.0,2.775,0.98,us,us6000nyy2,2024-10-17T18:35:08.040Z,"105 km SW of Ambunti, Papua New Guinea",earthquake,14.72,8.598,0.11,24.0,reviewed,us,us
282,2024-10-15T23:49:37.388Z,18.4796,-106.7367,10.0,5.2,mww,65.0,199.0,5.338,0.92,us,us6000nyxu,2024-10-16T06:01:21.808Z,"210 km SW of José María Morelos, Mexico",earthquake,10.13,1.902,0.056,31.0,reviewed,us,us
284,2024-10-15T23:02:13.090Z,-20.0323,-178.3491,582.676,4.4,mb,26.0,80.0,3.446,0.49,us,us6000nyxm,2024-10-15T23:18:24.040Z,Fiji region,earthquake,15.42,8.935,0.095,32.0,reviewed,us,us
285,2024-10-15T22:38:39.690Z,-29.5442,-176.911,15.256,4.9,mb,36.0,127.0,0.925,1.22,us,us6000nyxh,2024-10-15T22:54:49.040Z,Kermadec Islands region,earthquake,10.85,5.551,0.11,26.0,reviewed,us,us
288,2024-10-15T20:42:32.679Z,-23.7324,-67.1879,254.633,4.6,mb,33.0,92.0,2.419,0.81,us,us6000nywx,2024-10-15T21:30:30.040Z,"103 km WNW of San Antonio de los Cobres, Argentina",earthquake,11.74,18.804,0.194,9.0,reviewed,us,us
289,2024-10-15T20:40:34.268Z,-9.8612,151.7632,10.0,5.3,mww,65.0,66.0,4.562,1.03,us,us6000nywy,2024-10-15T21:22:38.804Z,"146 km NE of Samarai, Papua New Guinea",earthquake,8.09,1.871,0.069,20.0,reviewed,us,us
290,2024-10-15T19:51:30.629Z,-31.3004,-176.9151,10.0,5.0,mb,41.0,115.0,2.21,1.07,us,us6000nywq,2024-10-15T20:21:00.040Z,Kermadec Islands region,earthquake,6.6,1.838,0.103,30.0,reviewed,us,us
291,2024-10-15T19:34:28.814Z,-27.5001,-69.5327,118.993,4.3,mb,23.0,66.0,0.744,1.02,us,us6000nywf,2024-10-15T20:03:18.040Z,"80 km E of Copiapó, Chile",earthquake,6.24,8.704,0.178,9.0,reviewed,us,us
292,2024-10-15T19:08:36.306Z,-60.7112,-23.6038,10.0,4.9,mb,28.0,227.0,9.453,1.05,us,us6000nywb,2024-10-15T19:40:36.040Z,South Sandwich Islands region,earthquake,13.58,1.988,0.104,29.0,reviewed,us,us
293,2024-10-15T18:49:05.852Z,24.3287,125.6235,27.291,4.5,mb,39.0,178.0,1.268,1.08,us,us6000nyw7,2024-10-15T19:52:42.040Z,"60 km SSE of Miyakojima, Japan",earthquake,9.24,8.119,0.102,28.0,reviewed,us,us
296,2024-10-15T16:54:23.332Z,35.5487,28.742,40.171,4.8,mww,137.0,47.0,0.978,0.45,us,us6000nyvh,2024-10-15T18:51:16.341Z,"89 km SE of Lárdos, Greece",earthquake,5.2,4.445,0.089,12.0,reviewed,us,us
297,2024-10-15T15:49:40.645Z,-22.9961,-179.0887,402.896,4.5,mb,54.0,115.0,4.154,0.65,us,us6000nyv5,2024-10-15T16:08:23.040Z,south of the Fiji Islands,earthquake,13.07,8.813,0.053,108.0,reviewed,us,us
303,2024-10-15T11:17:01.396Z,38.8636,37.5175,10.0,4.2,mb,25.0,53.0,0.293,0.54,us,us6000nysx,2024-10-16T07:27:17.040Z,"12 km W of Kuluncak, Turkey",earthquake,1.99,1.902,0.186,8.0,reviewed,us,us
305,2024-10-15T09:32:18.921Z,16.3417,-98.1669,9.838,4.4,mb,92.0,204.0,1.273,0.81,us,us6000nysn,2024-10-15T10:18:17.040Z,"8 km SW of Mancuernas, Mexico",earthquake,11.86,8.895,0.044,153.0,reviewed,us,us
306,2024-10-15T08:05:05.437Z,-24.1892,-179.7405,530.041,4.6,mb,37.0,99.0,5.226,0.56,us,us6000nysi,2024-10-15T08:24:37.040Z,south of the Fiji Islands,earthquake,13.27,11.275,0.101,29.0,reviewed,us,us
309,2024-10-15T04:03:42.893Z,-8.8887,-74.4373,150.793,4.3,mb,29.0,103.0,2.065,0.86,us,us6000nyry,2024-10-16T00:32:31.040Z,"29 km E of Tournavista, Peru",earthquake,8.93,3.723,0.117,22.0,reviewed,us,us
314,2024-10-15T00:10:51.426Z,10.4441,-86.2297,10.0,4.7,mb,53.0,177.0,0.982,1.25,us,us6000nyqq,2024-10-21T05:52:32.213Z,"45 km WNW of Tamarindo, Costa Rica",earthquake,3.22,1.843,0.043,161.0,reviewed,us,us
315,2024-10-14T23:42:51.541Z,8.7904,127.1369,9.505,4.5,mb,32.0,135.0,2.303,0.54,us,us6000nyqm,2024-10-15T00:03:39.040Z,"91 km E of Aras-asan, Philippines",earthquake,11.62,5.099,0.113,23.0,reviewed,us,us
318,2024-10-14T21:30:19.983Z,-3.1406,139.1881,10.0,4.5,mb,32.0,73.0,1.636,0.89,us,us6000nyq0,2024-10-14T21:53:42.040Z,"171 km WSW of Abepura, Indonesia",earthquake,8.92,1.881,0.102,28.0,reviewed,us,us
319,2024-10-14T21:24:45.358Z,1.7123,126.544,54.715,4.3,mb,30.0,146.0,1.245,0.82,us,us6000nypy,2024-10-14T22:00:45.040Z,"138 km NW of Ternate, Indonesia",earthquake,9.31,9.078,0.103,27.0,reviewed,us,us
321,2024-10-14T21:05:51.583Z,38.3558,39.1839,5.0,4.3,mwr,46.0,117.0,0.991,0.8,us,us6000nypt,2024-10-14T21:26:15.390Z,"14 km ENE of Doğanyol, Turkey",earthquake,3.98,1.945,0.043,53.0,reviewed,us,us
322,2024-10-14T19:15:14.977Z,36.7175,71.0063,205.224,4.2,mb,29.0,171.0,2.009,0.67,us,us6000nypa,2024-10-14T20:54:25.040Z,"22 km SE of Jurm, Afghanistan",earthquake,10.42,10.51,0.167,10.0,reviewed,us,us
324,2024-10-14T18:50:30.023Z,39.8598,78.5904,10.0,4.4,mb,42.0,121.0,2.499,0.53,us,us6000nyp2,2024-10-14T20:49:50.040Z,"40 km W of Tumxuk, China",earthquake,8.74,1.933,0.123,19.0,reviewed,us,us
326,2024-10-14T16:24:28.212Z,19.1412,-70.183,31.348,4.3,mwr,116.0,91.0,0.715,0.55,us,us6000nymm,2024-10-16T20:06:29.114Z,"6 km SSE of Las Guáranas, Dominican Republic",earthquake,5.34,5.195,0.052,36.0,reviewed,us,us
327,2024-10-14T16:01:26.539Z,-36.8755,177.0832,252.593,4.8,mb,45.0,178.0,1.193,0.92,us,us6000nymi,2024-10-14T16:21:23.040Z,"109 km E of Pauanui, New Zealand",earthquake,10.13,6.406,0.086,41.0,reviewed,us,us
328,2024-10-14T15:48:13.841Z,-23.9455,-64.2139,16.852,5.0,mb,47.0,48.0,5.077,1.04,us,us6000nyme,2024-10-16T20:08:15.337Z,"9 km ENE of Palma Sola, Argentina",earthquake,2.73,4.295,0.046,149.0,reviewed,us,us
329,2024-10-14T13:30:09.151Z,40.7332,83.9154,12.003,4.1,mb,21.0,111.0,4.495,0.61,us,us6000nykt,2024-10-14T14:19:56.040Z,"136 km SE of Kuqa, China",earthquake,10.68,6.617,0.197,9.0,reviewed,us,us
330,2024-10-14T13:21:30.805Z,8.9762,126.2395,75.937,4.6,mb,48.0,122.0,2.004,0.66,us,us6000nykv,2024-10-14T14:01:48.472Z,"2 km WSW of La Paz, Philippines",earthquake,11.29,7.452,0.091,36.0,reviewed,us,us
331,2024-10-14T13:17:15.724Z,24.1381,121.8499,39.729,4.6,mwr,132.0,46.0,0.236,0.7,us,us6000nykn,2024-10-14T16:39:20.452Z,"30 km NE of Hualien City, Taiwan",earthquake,2.7,4.649,0.061,26.0,reviewed,us,us
332,2024-10-14T13:10:23.935Z,14.135,-91.2206,110.985,4.6,mb,48.0,187.0,0.804,0.88,us,us6000nykg,2024-10-14T13:39:39.040Z,"11 km SE of Nueva Concepción, Guatemala",earthquake,7.64,7.502,0.054,104.0,reviewed,us,us
333,2024-10-14T13:08:12.253Z,13.7366,-89.0523,187.37,4.5,mb,78.0,127.0,0.114,0.56,us,us6000nykd,2024-10-14T14:07:46.040Z,"7 km ENE of Ilopango, El Salvador",earthquake,7.55,1.371,0.055,95.0,reviewed,us,us
334,2024-10-14T12:26:05.414Z,-24.191,179.5054,527.358,4.3,mb,42.0,68.0,5.531,0.83,us,us6000nyka,2024-10-21T08:46:55.040Z,south of the Fiji Islands,earthquake,11.31,9.281,0.093,33.0,reviewed,us,us
336,2024-10-14T11:52:53.317Z,30.0623,131.0184,35.385,4.9,mb,47.0,91.0,1.522,0.83,us,us6000nyk6,2024-10-14T12:31:11.040Z,"50 km ESE of Koshima, Japan",earthquake,7.21,7.742,0.073,59.0,reviewed,us,us
337,2024-10-14T10:45:57.274Z,35.5021,140.1716,68.456,4.9,mb,79.0,109.0,1.899,1.0,us,us6000nyk2,2024-10-16T20:01:14.245Z,"8 km ESE of Ichihara, Japan",earthquake,7.26,6.621,0.05,126.0,reviewed,us,us
338,2024-10-14T09:18:52.188Z,28.7984,-112.8734,10.0,4.2,mb,55.0,160.0,1.576,1.03,us,us6000nyjn,2024-10-14T11:45:23.215Z,"91 km W of Bahía de Kino, Mexico",earthquake,6.39,1.969,0.079,45.0,reviewed,us,us
340,2024-10-14T07:40:09.894Z,-17.7479,-179.9459,614.52,4.9,mb,102.0,34.0,1.423,0.76,us,us6000nyjf,2024-10-14T08:11:00.040Z,"85 km ENE of Levuka, Fiji",earthquake,11.83,7.671,0.026,462.0,reviewed,us,us
341,2024-10-14T07:24:04.298Z,36.6611,71.238,217.104,4.1,mb,32.0,147.0,2.176,0.3,us,us6000nyj9,2024-10-14T13:39:40.040Z,"26 km W of Ashkāsham, Afghanistan",earthquake,9.66,9.494,0.198,7.0,reviewed,us,us
342,2024-10-14T07:02:47.293Z,25.7736,96.5117,10.0,4.3,mb,34.0,105.0,4.777,0.54,us,us6000nyj8,2024-10-14T08:19:43.040Z,"56 km SSW of Sarupathar, India",earthquake,11.32,1.94,0.107,25.0,reviewed,us,us
345,2024-10-14T03:21:51.073Z,-20.1889,-69.3359,101.14,4.6,mwr,40.0,58.0,0.178,0.62,us,us6000nyim,2024-10-14T23:56:03.998Z,"37 km ENE of La Tirana, Chile",earthquake,5.47,3.978,0.086,13.0,reviewed,us,us
350,2024-10-13T22:48:35.178Z,-35.9897,-100.5649,10.0,5.5,mww,72.0,121.0,11.569,0.77,us,us6000nyhx,2024-10-14T22:51:36.555Z,southeast of Easter Island,earthquake,12.78,1.902,0.098,10.0,reviewed,us,us
351,2024-10-13T22:35:58.101Z,-3.8687,87.1597,10.0,4.6,mb,37.0,184.0,12.807,0.76,us,us6000nyhv,2024-10-13T22:57:07.040Z,South Indian Ocean,earthquake,15.73,1.938,0.1,30.0,reviewed,us,us
354,2024-10-13T22:05:34.933Z,10.4368,-86.1325,10.0,4.3,mb,22.0,195.0,0.9,0.76,us,us6000nyhn,2024-10-13T22:16:01.040Z,"35 km WNW of Tamarindo, Costa Rica",earthquake,3.98,1.975,0.122,19.0,reviewed,us,us
359,2024-10-13T17:04:18.476Z,51.8956,178.1216,144.204,4.6,mb,55.0,165.0,0.285,0.56,us,us6000nygi,2024-10-14T12:53:53.876Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,11.44,6.718,0.033,270.0,reviewed,us,us
360,2024-10-13T16:17:36.261Z,-59.2495,149.3445,10.0,5.0,mww,20.0,117.0,7.091,0.52,us,us6000nygc,2024-10-15T13:47:08.040Z,west of Macquarie Island,earthquake,12.91,1.349,0.08,15.0,reviewed,us,us
363,2024-10-13T13:44:13.797Z,-44.335,168.0989,10.0,4.4,mb,30.0,96.0,0.82,0.93,us,us6000nyfq,2024-10-16T19:55:58.213Z,"84 km NNW of Arthurs Point, New Zealand",earthquake,3.88,1.264,0.138,15.0,reviewed,us,us
364,2024-10-13T11:36:31.858Z,23.9662,121.6155,21.458,5.1,mb,66.0,69.0,0.207,0.67,us,us6000nyf8,2024-10-16T20:03:34.133Z,"1 km SE of Hualien City, Taiwan",earthquake,3.9,3.212,0.062,84.0,reviewed,us,us
367,2024-10-13T07:24:34.209Z,-33.7078,-178.55,10.0,4.5,mb,18.0,248.0,4.62,0.74,us,us6000nyej,2024-10-13T08:50:42.040Z,south of the Kermadec Islands,earthquake,13.29,1.999,0.14,15.0,reviewed,us,us
368,2024-10-13T07:01:42.061Z,5.3951,94.3026,55.193,5.3,mww,80.0,65.0,5.333,0.92,us,us6000nyee,2024-10-13T07:19:48.040Z,"115 km W of Banda Aceh, Indonesia",earthquake,9.72,6.22,0.11,8.0,reviewed,us,us
371,2024-10-13T06:15:26.004Z,-36.374,-98.1045,10.0,5.1,mb,58.0,80.0,13.267,0.86,us,us6000nye7,2024-10-15T13:30:43.040Z,southeast of Easter Island,earthquake,12.71,1.897,0.044,166.0,reviewed,us,us
373,2024-10-13T04:37:50.770Z,8.8276,40.141,10.0,4.6,mb,30.0,253.0,3.782,0.69,us,us6000nyds,2024-10-18T22:04:45.462Z,"17 km S of Āwash, Ethiopia",earthquake,8.82,1.998,0.114,23.0,reviewed,us,us
375,2024-10-13T03:50:24.160Z,-7.0486,155.5103,103.057,4.4,mb,30.0,96.0,4.376,0.62,us,us6000nydp,2024-10-13T04:43:25.040Z,"81 km S of Panguna, Papua New Guinea",earthquake,10.08,1.842,0.126,19.0,reviewed,us,us
376,2024-10-13T03:31:49.400Z,57.1904,120.7767,10.0,4.6,mb,44.0,140.0,5.03,0.74,us,us6000nydn,2024-10-13T04:16:05.040Z,"155 km E of Chara, Russia",earthquake,9.67,1.927,0.099,30.0,reviewed,us,us
378,2024-10-13T02:17:21.930Z,25.7423,92.7762,10.0,4.4,mb,27.0,140.0,7.007,0.9,us,us6000nyde,2024-10-18T01:11:25.063Z,"29 km SSW of Hojāi, India",earthquake,13.75,1.94,0.102,28.0,reviewed,us,us
379,2024-10-13T01:37:37.361Z,-22.9819,-68.4621,136.56,4.4,mb,24.0,51.0,1.06,0.95,us,us6000nyd5,2024-10-13T02:00:44.040Z,"27 km WSW of San Pedro de Atacama, Chile",earthquake,10.72,15.056,0.161,11.0,reviewed,us,us
381,2024-10-13T01:01:40.586Z,41.302,83.983,10.0,4.1,mb,24.0,223.0,3.901,1.14,us,us6000nycw,2024-10-15T00:18:49.040Z,"99 km ESE of Kuqa, China",earthquake,6.34,1.99,0.214,6.0,reviewed,us,us
382,2024-10-13T00:14:33.275Z,38.7707,30.4701,10.0,4.1,mb,48.0,31.0,0.927,0.98,us,us6000nycr,2024-10-13T04:10:13.752Z,"6 km WNW of Afyonkarahisar, Turkey",earthquake,4.04,1.941,0.146,13.0,reviewed,us,us
383,2024-10-12T23:36:29.739Z,80.287,-111.1822,10.0,4.6,mb,94.0,54.0,6.605,1.0,us,us6000nycn,2024-10-13T00:19:06.040Z,Arctic Ocean,earthquake,10.04,1.883,0.057,92.0,reviewed,us,us
384,2024-10-12T23:35:34.790Z,-57.8928,-24.8993,10.0,4.5,mb,21.0,133.0,7.421,0.91,us,us6000nycp,2024-10-13T00:26:45.040Z,South Sandwich Islands region,earthquake,12.91,1.908,0.121,20.0,reviewed,us,us
