,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
54,2024-10-22T02:36:18.744Z,-6.0572,130.3925,10.0,5.1,mb,68.0,43.0,1.6,0.59,us,us7000nmcs,2024-10-22T03:06:24.040Z,"265 km W of Tual, Indonesia",earthquake,8.62,1.757,0.08,51.0,reviewed,us,us
55,2024-10-22T01:12:37.703Z,36.2205,141.2627,35.0,4.6,mb,40.0,151.0,2.485,0.6,us,us7000nmck,2024-10-22T02:44:12.040Z,"61 km E of Ōarai, Japan",earthquake,7.55,1.897,0.107,26.0,reviewed,us,us
58,2024-10-21T22:40:02.729Z,40.6811,84.2321,10.0,4.1,mb,19.0,206.0,4.416,0.36,us,us7000nmcb,2024-10-21T22:58:29.040Z,"158 km SE of Kuqa, China",earthquake,12.28,2.007,0.185,8.0,reviewed,us,us
59,2024-10-21T21:12:10.968Z,-7.957,123.322,290.084,4.3,mb,22.0,103.0,1.267,1.06,us,us7000nmc7,2024-10-21T21:52:45.040Z,"142 km ENE of Maumere, Indonesia",earthquake,12.36,10.268,0.138,15.0,reviewed,us,us
60,2024-10-21T20:25:35.394Z,-17.7498,-178.6849,550.271,4.7,mb,85.0,78.0,2.249,0.68,us,us7000nmby,2024-10-21T20:49:50.040Z,"214 km E of Levuka, Fiji",earthquake,10.39,8.217,0.029,369.0,reviewed,us,us
61,2024-10-21T19:22:50.440Z,-1.1979,127.4281,10.0,4.5,mb,29.0,107.0,1.957,0.85,us,us7000nmbm,2024-10-21T19:49:37.040Z,"63 km S of Labuha, Indonesia",earthquake,7.91,1.921,0.121,20.0,reviewed,us,us
64,2024-10-21T16:02:44.673Z,-17.4094,-178.4698,530.519,4.5,mb,61.0,72.0,2.265,0.72,us,us7000nmav,2024-10-21T16:24:53.040Z,"245 km ENE of Levuka, Fiji",earthquake,13.55,9.043,0.066,67.0,reviewed,us,us
66,2024-10-21T15:15:13.441Z,-1.1985,127.4176,10.0,4.6,mb,42.0,96.0,1.958,0.52,us,us6000p03l,2024-10-21T15:40:07.040Z,"63 km S of Labuha, Indonesia",earthquake,7.47,1.914,0.1,30.0,reviewed,us,us
68,2024-10-21T14:11:32.834Z,42.7664,143.6458,117.705,4.6,mb,98.0,76.0,0.834,0.52,us,us6000p02e,2024-10-21T16:48:45.004Z,"4 km S of Honchō, Japan",earthquake,8.04,1.493,0.046,140.0,reviewed,us,us
70,2024-10-21T08:35:08.646Z,-1.093,127.4696,10.0,5.0,mb,43.0,83.0,1.855,0.56,us,us6000p00d,2024-10-21T08:53:33.040Z,"51 km S of Labuha, Indonesia",earthquake,5.88,1.755,0.097,34.0,reviewed,us,us
71,2024-10-21T08:24:06.089Z,-1.1634,127.3904,10.0,5.2,mb,68.0,77.0,1.922,0.5,us,us6000p00b,2024-10-21T08:40:51.040Z,"60 km S of Labuha, Indonesia",earthquake,7.11,1.865,0.072,63.0,reviewed,us,us
72,2024-10-21T08:08:33.226Z,-1.1854,127.2924,10.0,4.9,mb,43.0,82.0,1.945,0.59,us,us6000p00a,2024-10-21T08:30:52.040Z,"65 km SSW of Labuha, Indonesia",earthquake,6.74,1.886,0.087,41.0,reviewed,us,us
75,2024-10-21T06:32:35.642Z,-1.0991,127.4181,10.0,5.7,mb,72.0,78.0,1.859,0.67,us,us6000p000,2024-10-22T06:36:04.138Z,"52 km S of Labuha, Indonesia",earthquake,5.15,1.841,0.049,150.0,reviewed,us,us
76,2024-10-21T06:09:39.122Z,-17.9663,-178.562,569.439,4.5,mb,37.0,95.0,2.469,0.86,us,us6000nzzw,2024-10-22T07:58:51.040Z,"224 km E of Levuka, Fiji",earthquake,11.06,8.19,0.099,30.0,reviewed,us,us
77,2024-10-21T05:35:49.196Z,52.6667,172.4989,43.229,5.0,mb,114.0,110.0,3.794,0.58,us,us6000nzzt,2024-10-23T05:46:00.260Z,"50 km WSW of Attu Station, Alaska",earthquake,9.32,7.33,0.029,388.0,reviewed,us,us
78,2024-10-21T05:32:12.933Z,54.7356,161.5386,35.0,4.4,mb,70.0,152.0,2.422,0.81,us,us6000nzzs,2024-10-21T09:22:05.040Z,"154 km SE of Atlasovo, Russia",earthquake,12.76,1.95,0.066,68.0,reviewed,us,us
79,2024-10-21T04:12:15.266Z,-1.1047,127.434,10.0,5.2,mww,93.0,37.0,1.865,0.6,us,us6000nzzb,2024-10-22T00:39:24.040Z,"53 km S of Labuha, Indonesia",earthquake,3.29,1.728,0.083,14.0,reviewed,us,us
80,2024-10-21T04:10:22.858Z,-1.098,127.4883,10.0,4.8,mb,47.0,83.0,1.861,0.94,us,us6000nzza,2024-10-22T00:26:19.040Z,"52 km S of Labuha, Indonesia",earthquake,7.44,1.876,0.091,37.0,reviewed,us,us
81,2024-10-21T03:55:07.571Z,27.8906,140.1353,347.899,4.2,mb,39.0,61.0,1.985,0.66,us,us6000nzz4,2024-10-22T00:22:23.040Z,"Bonin Islands, Japan region",earthquake,11.95,7.491,0.059,80.0,reviewed,us,us
82,2024-10-21T03:53:04.975Z,-1.1944,127.1249,10.0,4.9,mb,33.0,91.0,1.968,0.69,us,us6000nzz3,2024-10-21T23:03:00.040Z,"74 km SSW of Labuha, Indonesia",earthquake,7.28,1.881,0.116,23.0,reviewed,us,us
83,2024-10-21T03:24:16.425Z,-1.1707,127.4156,16.0,5.8,mww,106.0,26.0,1.93,0.63,us,us6000nzyn,2024-10-23T13:32:12.879Z,"60 km S of Labuha, Indonesia",earthquake,6.38,1.729,0.055,32.0,reviewed,us,us
84,2024-10-21T03:04:17.054Z,52.8264,-166.7198,35.0,4.1,mb,70.0,171.0,0.927,0.84,us,us6000nzzq,2024-10-21T21:52:48.040Z,"117 km S of Unalaska, Alaska",earthquake,3.87,1.851,0.117,20.0,reviewed,us,us
87,2024-10-20T23:22:17.999Z,-12.479,166.9805,205.772,5.0,mb,54.0,53.0,8.431,0.55,us,us6000nzxu,2024-10-20T23:38:25.040Z,"166 km NNW of Sola, Vanuatu",earthquake,11.19,6.214,0.083,46.0,reviewed,us,us
90,2024-10-20T22:59:40.810Z,-30.8936,-68.7474,107.654,5.7,mww,32.0,89.0,0.652,0.53,us,us6000nzxj,2024-10-21T23:02:49.169Z,"63 km NNW of Albardón, Argentina",earthquake,6.31,8.017,0.039,63.0,reviewed,us,us
91,2024-10-20T21:34:37.235Z,51.9457,159.0931,43.394,4.4,mb,29.0,137.0,1.113,0.78,us,us6000nzxf,2024-10-20T21:53:59.040Z,"119 km SSE of Vilyuchinsk, Russia",earthquake,8.47,4.617,0.121,20.0,reviewed,us,us
93,2024-10-20T20:29:39.029Z,-7.7741,113.4957,177.622,4.3,mb,39.0,70.0,0.949,0.74,us,us6000nzx7,2024-10-21T17:31:04.040Z,"11 km E of Kraksaan, Indonesia",earthquake,10.7,6.422,0.089,36.0,reviewed,us,us
